population,horizon_months,loans,excluded_censored,observed_rate,predicted_rate,ratio,gap
test (out-of-time),12,81059,25,0.001653116865493036,0.001957095124843746,1.1838818934679791,0.00030397825935070985
test (out-of-time),24,81053,31,0.005946726216179537,0.005955363618385614,1.0014524634045834,8.637402206077179e-06
test (out-of-time),36,81045,39,0.010278240483681905,0.009308504246160568,0.9056515325691276,-0.0009697362375213365
test (out-of-time),60,81028,56,0.021474058350199932,0.01431308119716313,0.6665289328986977,-0.007160977153036803
