bin,rows,events,mean_predicted,observed_rate,min_predicted,max_predicted,bin_low,bin_high,standard_error,residual,z,population,variant
10,52507,10,0.00031795245879879234,0.0001904507970365856,0.00028758679142574584,0.00035059186134980326,0.00028758679142574584,0.0003505920062833427,7.780427096866297e-05,-0.00012750166176220674,-1.6387488781118489,holdout (in-time),platt
11,52506,18,0.00038753037515833644,0.00034281796366129587,0.0003505933106851967,0.0004272521454117871,0.0003505920062833427,0.0004272526150112077,8.589427924887775e-05,-4.471241149704057e-05,-0.5205516815326763,holdout (in-time),platt
12,52506,13,0.0004741632620621937,0.00024759075153315814,0.0004272544934088893,0.0005252627492457838,0.0004272526150112077,0.000525263205354194,9.500719502181763e-05,-0.00022657251052903558,-2.3847931777904297,holdout (in-time),platt
13,52506,35,0.0005871374915685274,0.0006665904848969642,0.000525264269607151,0.0006548424278560734,0.000525263205354194,0.0006548426743638039,0.0001057153146330396,7.94529933284368e-05,0.7515750542315943,holdout (in-time),platt
14,52506,43,0.0007363370318781188,0.0008189540243019846,0.0006548430441253997,0.0008270906472174704,0.0006548426743638039,0.0008270910372869999,0.00011837879141001804,8.261699242386573e-05,0.6979036653424905,holdout (in-time),platt
15,52506,43,0.0009388424239700276,0.0008189540243019846,0.0008270914273565295,0.0010673842332645546,0.0008270910372869999,0.0010673880889955723,0.00013365583489514956,-0.00011988839966804298,-0.8969933842551141,holdout (in-time),platt
16,52506,81,0.0012395947748249593,0.0015426808364758314,0.0010673906594829165,0.0014390424177385024,0.0010673880889955723,0.0014390532016332364,0.00015355574160386988,0.00030308606165087206,1.973785274879189,holdout (in-time),platt
17,52506,115,0.0017077444530288796,0.002190225878947168,0.0014390578233024066,0.0020396580082390993,0.0014390532016332364,0.0020396777452668154,0.00018019213273264662,0.0004824814259182886,2.6775942911678197,holdout (in-time),platt
18,52506,170,0.0025960799089693636,0.003237725212356683,0.002039682679523743,0.003377326311430668,0.0020396777452668154,0.0033774055684625123,0.00022207010421587017,0.0006416453033873193,2.8893817366951295,holdout (in-time),platt
19,52507,316,0.006650542548688576,0.006018245186356105,0.0033774143747993817,0.04557650547620283,0.0033774055684625123,0.04557650547620283,0.00035470798474548216,-0.0006322973623324709,-1.7825856465739578,holdout (in-time),platt
0,123401,4,0.0,3.241464817951232e-05,0.0,0.0,0.0,1.7613386173491855e-05,0.0,3.241464817951232e-05,,train (in-sample),isotonic
1,226018,13,1.7613386173491855e-05,5.7517542850569426e-05,1.7613386173491855e-05,1.7613386173491855e-05,1.7613386173491855e-05,2.4932526350563786e-05,8.827670004598669e-06,3.990415667707757e-05,4.52034983821212,train (in-sample),isotonic
2,634367,29,2.4932526350563786e-05,4.571486221698165e-05,2.4932526350563786e-05,2.4932526350563786e-05,2.4932526350563786e-05,4.117542101867992e-05,6.269132341295685e-06,2.0782335866417867e-05,3.3150258656244347,train (in-sample),isotonic
3,440921,31,4.526166166972411e-05,7.03073793264553e-05,4.117542101867992e-05,0.00013228596944907023,4.117542101867992e-05,0.00014018691588785047,1.0131529806778618e-05,2.504571765673119e-05,2.472056849694511,train (in-sample),isotonic
4,170348,14,0.00014018749031467155,8.218470425247141e-05,0.00014018691588785047,0.00016286794969033825,0.00014018691588785047,0.00017064430413690548,2.868505371622878e-05,-5.800278606220013e-05,-2.0220560378237895,train (in-sample),isotonic
5,166096,23,0.00017064430413690548,0.00013847413543974568,0.00017064430413690548,0.00017064430413690548,0.00017064430413690548,0.00017514611727005586,3.205009000086427e-05,-3.2170168697159796e-05,-1.0037465946676682,train (in-sample),isotonic
6,642048,160,0.00017515978929751513,0.00024920255183413076,0.00017514611727005586,0.000175530981218185,0.00017514611727005586,0.0003391333837685545,1.6515640447048876e-05,7.404276253661563e-05,4.483190511079822,train (in-sample),isotonic
7,308410,102,0.0003391336916785118,0.00033072857559741903,0.0003391333837685545,0.0003688883035449194,0.0003391333837685545,0.00037965072133637056,3.315488979155034e-05,-8.405116081092775e-06,-0.25351060232553857,train (in-sample),isotonic
8,92485,47,0.0006016855470822117,0.000508190517381197,0.00037965072133637056,0.0006295094668539054,0.00037965072133637056,0.0006864090998234948,8.063404480654236e-05,-9.349502970101473e-05,-1.1594981986247683,train (in-sample),isotonic
9,200013,114,0.0006864100770980532,0.0005699629524080935,0.0006864090998234948,0.0008036896695880837,0.0006864090998234948,0.0008362676056338028,5.856169119707547e-05,-0.00011644712468995974,-1.9884522169635535,train (in-sample),isotonic
10,181924,131,0.0008365204703211592,0.0007200809129086871,0.0008362676056338028,0.0008983194528478694,0.0008362676056338028,0.000900133803673519,6.778156065753931e-05,-0.00011643955741247206,-1.717864803980735,train (in-sample),isotonic
11,367603,467,0.0012524405176166993,0.0012703922438064977,0.000900133803673519,0.0016691794098643118,0.000900133803673519,0.0017727877086718866,5.8333347111909296e-05,1.795172618979839e-05,0.30774380484903424,train (in-sample),isotonic
12,204976,451,0.0020826830700708325,0.0022002575911326205,0.0017727877086718866,0.003022924350683937,0.0017727877086718866,0.00314361350099272,0.00010069487472818478,0.00011757452106178796,1.1676316334785461,train (in-sample),isotonic
