variant,loans,lgd,discount_spread_bps,npv_total,npv_per_loan,npv_per_dollar,default_leg,delta_vs_raw,delta_pct,scope
isotonic,4216,0.1,50.0,8735840.538742239,2072.068438980607,0.01362847763996861,9827845.312035577,4.280086011789535,0.0020698859269830117,sensitivity
isotonic,4216,0.1,100.0,-378345.12580457074,-89.74030498210881,-0.0005902429267511661,9620776.73952575,4.174683974296485,0.04445173257949639,sensitivity
isotonic,4216,0.1,150.0,-9224990.079826932,-2188.090626144908,-0.01439158263870448,9420642.458625836,4.057805308804745,0.0018510632083949857,sensitivity
isotonic,4216,0.1045,50.0,8690263.463957414,2061.2579373713033,0.013557374448255636,9782268.237250755,4.452514014972621,0.002164771623222838,sensitivity
isotonic,4216,0.1045,100.0,-422615.6656480667,-100.24090741178053,-0.000659307839244783,9576506.19968225,4.347833562642549,0.04157076107939574,sensitivity
isotonic,4216,0.1045,150.0,-9268004.02939916,-2198.2931758536906,-0.014458687188902261,9377628.50905361,4.231531073828137,0.0019212184365146325,sensitivity
isotonic,4216,0.18,50.0,7925581.431456467,1879.8817437040957,0.012364420898404626,9017586.204749804,7.34547273505359,0.003922739895047421,sensitivity
isotonic,4216,0.18,100.0,-1165376.9452445158,-276.41768150961,-0.0018180635933043824,8833744.920085803,7.252898878229075,0.02556803341507178,sensitivity
isotonic,4216,0.18,150.0,-9989682.516666543,-2369.4692876343793,-0.015584552419998381,8655950.021786228,7.146263353662562,0.003006907596262934,sensitivity
isotonic,4216,0.2407,50.0,7310797.333803387,1734.0600886630425,0.011405317845742953,8402802.107096724,9.67133491133086,0.005608558331344464,sensitivity
isotonic,4216,0.2407,100.0,-1762537.3382445748,-418.0591409498517,-0.002749672524051636,8236584.527085744,9.588494436588178,0.022421483584081137,sensitivity
isotonic,4216,0.2407,150.0,-10569892.9031186,-2507.090347039516,-0.016489718241555134,8075739.635334171,9.489630895198388,0.0037708441529389655,sensitivity
sequential,4216,0.1,50.0,8293642.505477507,1967.1827574662018,0.012938620037593673,12499048.691718794,-100.60559550261564,-0.0486537199796931,sensitivity
sequential,4216,0.1,100.0,-780918.3776519478,-185.22731917740697,-0.0012182833009910278,12246446.386647563,-91.31233022100167,-0.972287078300017,sensitivity
sequential,4216,0.1,150.0,-9589952.60769316,-2274.6566906293074,-0.014960947844993768,12002162.771913307,-82.5082591755945,-0.0376380805203412,sensitivity
sequential,4216,0.1045,50.0,8235677.604843185,1953.4339669931653,0.012848191034374758,12441083.791084472,-103.37145636316541,-0.050258257387556904,sensitivity
sequential,4216,0.1045,100.0,-837271.0825717016,-198.59371028740551,-0.001306197174366421,12190093.681727808,-94.00496931298244,-0.898805822091033,sensitivity
sequential,4216,0.1045,150.0,-9644753.586129194,-2287.6550251729586,-0.015046440924446363,11947361.793477273,-85.13031824543987,-0.038651243265368444,sensitivity
sequential,4216,0.18,50.0,7263155.383089555,1722.759815723329,0.011330993313701824,11468561.569330845,-149.77645524571312,-0.07998587667848134,sensitivity
sequential,4216,0.18,100.0,-1782744.2428920232,-422.85205002182715,-0.0027811966054424784,11244620.521407485,-139.18146963398806,-0.4906447099438259,sensitivity
sequential,4216,0.18,150.0,-10564192.224333784,-2505.738193627558,-0.016480824813039932,11027923.155272681,-129.12264263951602,-0.054330471155015055,sensitivity
sequential,4216,0.2407,50.0,6481273.278977696,1537.303908675924,0.01011120653694888,10686679.465218984,-187.0848450757876,-0.1084934268266083,sensitivity
sequential,4216,0.2407,100.0,-2542879.618142931,-603.149814550031,-0.003967057075195017,10484485.14615658,-175.5021791635911,-0.4103896868387923,sensitivity
sequential,4216,0.2407,150.0,-11303396.533459863,-2681.071284027482,-0.01763403146254497,10288718.846146604,-164.49130609276745,-0.06536303536347801,sensitivity
