vintage,loan_age,at_risk,observed,predicted,residual,z
2000,0,39023,0.0,0.0001267179912784791,-0.0001267179912784791,-2.223857653474579
2000,1,45898,0.0,0.00016958355664062428,-0.00016958355664062428,-2.790137320635146
2000,2,46868,0.0,0.000220929700487759,-0.000220929700487759,-3.218201567940571
2000,3,47057,0.0004675181163270077,0.0002813353991575079,0.0001861827171694998,2.4082434718019714
2000,4,46873,0.0005120218462654406,0.00035000143350522565,0.00016202041276021497,1.875306301911558
2000,5,46581,0.0005366995126768425,0.0004271870348202137,0.00010951247785662876,1.143804392541387
2000,6,46123,0.0005637100795698459,0.0005092138621280859,5.4496217441759925e-05,0.5187828689945929
2000,7,45448,0.0006380918852314733,0.0005969024639063716,4.118942132510172e-05,0.35951833792570154
2000,8,44538,0.0008756567425569177,0.0006880597467810519,0.0001875969957758658,1.5098285060484893
2000,9,43447,0.0007365295647570603,0.0007810055338636588,-4.447596910659845e-05,-0.3318546601959167
2000,10,42111,0.0008073899931134383,0.0008724554419613711,-6.506544884793278e-05,-0.45223702283528133
2000,11,40460,0.0011616411270390509,0.0009651666414126482,0.00019647448562640267,1.2727046549627774
2000,12,38568,0.0011667703795892968,0.0010477979321563847,0.00011897244743291208,0.7221856126355534
2000,13,36537,0.000903194022497742,0.001125437796637889,-0.00022224377414014707,-1.267009354582372
2000,14,34624,0.0009819778188539742,0.0011989495408429671,-0.00021697172198899294,-1.1666801457913503
2000,15,32789,0.0012809173808289364,0.0012652153337188068,1.5702047110129633e-05,0.07998582903236506
2000,16,31088,0.0010615028306742152,0.0013180070271580427,-0.00025650419648382754,-1.2465749451964128
2000,17,29545,0.0012861736334405145,0.0013699015122849746,-8.372787884446012e-05,-0.3891034556746505
2000,18,27963,0.0015377463076207845,0.0014083346651441605,0.00012941164247662405,0.5770564869704611
2000,19,26482,0.0014349369382977116,0.0014361651294460067,-1.2281911482951453e-06,-0.005277779577265688
2000,20,25052,0.001716429825961999,0.0014569198240848866,0.0002595100018771125,1.0768967660873323
2000,21,23625,0.0013968253968253967,0.001481675834668475,-8.485043784307823e-05,-0.33906688605166896
2000,22,22212,0.0017558076715289033,0.0014999911614319405,0.0002558165100969628,0.9851537521294991
2000,23,20790,0.0012506012506012505,0.0015187734975073363,-0.00026817224690608575,-0.9929436860732483
2000,24,19550,0.0016879795396419438,0.0015432904038245438,0.0001446891358174,0.5153720428119105
2000,25,18352,0.0012532693984306888,0.0015643046430019666,-0.0003110352445712778,-1.0661801358552312
2000,26,17290,0.0018507807981492192,0.0015846808114177494,0.00026609998673146986,0.8796620008267017
2000,27,16280,0.0015356265356265355,0.0016023298986609104,-6.67033630343749e-05,-0.21278802478888378
2000,28,15287,0.0015699614051154576,0.0016305511759118188,-6.05897707963612e-05,-0.18567249959308424
2000,29,14301,0.0027270820222362073,0.0016581534680695095,0.0010689285541666978,3.141809744207789
2000,30,13321,0.002552360933863824,0.0016865484875497748,0.0008658124463140492,2.4353386516487974
2000,31,12388,0.0012108492089118502,0.0017176351367559734,-0.0005067859278441232,-1.3621752592324043
2000,32,11537,0.002253618791713617,0.0017674855441552717,0.0004861332475583455,1.2431054759832385
2000,33,10705,0.002241943017281644,0.0018084069832407913,0.0004335360340408528,1.0557558452282847
2000,34,9978,0.0016035277610743637,0.0018509151629407794,-0.00024738740186641575,-0.5749212567548713
