approved,approval_rate,threshold,npv_total,npv_per_applicant,accuracy,precision,recall,f1
0,0.0,0.0,0.0,0.0,0.07175399933772565,0.07175399933772565,1.0,0.13390012891403244
439,0.004996926719329797,0.0036737570983375223,641591.6164719679,7.302930048398114,0.07676673099101362,0.07211549496201428,1.0,0.13452933998415792
878,0.009993853438659593,0.004300618255850334,1498965.0890457914,17.062001605456683,0.08177946264430158,0.072480651449267,1.0,0.13516449243410086
1317,0.014990780157989391,0.004720394933809333,2242941.506225772,25.530328798071483,0.08679219429758955,0.07284952469278924,1.0,0.13580567081604428
1757,0.01999908939831994,0.0050666250040249826,3011899.702060352,34.28301161085838,0.09181634447400573,0.07322302493591237,1.0,0.13645444280378702
2196,0.024996016117649737,0.005385356189352898,3918544.243943919,44.60291214906457,0.09679482055790904,0.07358693869902322,0.9998408656906429,0.13708463334278795
2635,0.029992942836979536,0.005660165629506951,4855084.782245875,55.26310449434147,0.10179613368806878,0.07396637784893577,0.9998408656906429,0.13774279826369096
3074,0.03498986955630933,0.005923543944756554,5839974.3642888395,66.47363084536663,0.10680886534135675,0.07435063014022839,0.9998408656906429,0.13840883807509718
3514,0.03999817879663988,0.0061620617205419385,6823552.617713279,77.66923097085254,0.11182159699464471,0.07473889562962434,0.9998408656906429,0.13908135030437188
3953,0.04499510551596968,0.006430268425527654,7792745.880278328,88.70109363578584,0.11680007307854802,0.07511838140335772,0.9996817313812858,0.1397366313728979
4392,0.04999203223529947,0.006644992427319654,8943761.653700773,101.80255484896274,0.12181280473183598,0.07551479161908425,0.9996817313812858,0.14042225028779629
4831,0.05498895895462927,0.00684973536026565,9894266.826736607,112.62169994236582,0.12682553638512395,0.07591540785498489,0.9996817313812858,0.1411146303659276
5271,0.05999726819495982,0.0070594999258651375,11007002.959724814,125.28744234439881,0.1318268495152837,0.07630907544648281,0.9995225970719287,0.14179289793891234
5710,0.06499419491428962,0.007291522956372123,12138603.38389087,138.16790793692797,0.13683958116857164,0.0767182518840615,0.9995225970719287,0.1424990074300947
6149,0.06999112163361941,0.00748529757734781,13252617.820443742,150.8482006561311,0.14182947577560318,0.07711955987818057,0.9993634627625716,0.1431893839208354
6589,0.07499943087394996,0.0076955389312992235,14416669.833227534,164.09804713760937,0.14685362595201937,0.07753852232319242,0.9993634627625716,0.1439112699940419
7028,0.07999635759327976,0.00788057790471477,15504459.234404016,176.4798328408953,0.15182068351279446,0.07793626556428687,0.9990451941438574,0.14459274272487535
7467,0.08499328431260955,0.008066679983044505,16637933.938603578,189.38163246526713,0.156810578119826,0.07835085003869487,0.9988860598345003,0.14530428945114474
7906,0.08999021103193935,0.008252578067270009,17732736.75000929,201.84324845777417,0.16180047272685752,0.0787700031377471,0.9987269255251432,0.14602310403797159
8346,0.0949985202722699,0.00842144435600055,18810848.25126925,214.1148752620171,0.16677894881076083,0.07918217959235187,0.998408656906429,0.14672762777862228
8785,0.09999544699159969,0.00859580360742467,19961916.544721276,227.21693428553368,0.17172316932527948,0.07958525813493071,0.9979312539783577,0.14741419840150446
9224,0.1049923737109295,0.008768508956718928,21294481.43690664,242.3848821556974,0.17667880836292635,0.08000459429796575,0.9976129853596435,0.14812977009049882
9663,0.1099893004302593,0.008957391533660874,22526153.411544178,256.4044142730459,0.18165728444682966,0.08044147843942505,0.9974538510502864,0.14887653793168973
10103,0.11499760967058985,0.009137928929749798,23476077.779408753,267.21694833938983,0.18657866791509187,0.0808456266697642,0.9968173138128581,0.14956127260789115
10542,0.11999453638991964,0.0093034301050787,24583154.64860142,279.8182740524213,0.19143154024458475,0.0812154409283248,0.9957033736473584,0.15018121594700334
10981,0.12499146310924944,0.009470579021887216,25867808.720416833,294.44087600356085,0.1963643422359752,0.0816406453971072,0.9952259707192871,0.15090242254608632
11421,0.12999977234958,0.009644386328703267,26667314.87361039,303.54127158251634,0.20134281831987852,0.08208602489365055,0.9949077021005729,0.15165922763438774
11860,0.1349966990689098,0.009814872479720503,27980633.157222033,318.4901445263964,0.20627562031126895,0.08252119483400681,0.9944302991725016,0.1523960492622851
12299,0.13999362578823957,0.009996247088686782,29056239.767009202,330.73325935084574,0.21126551491830048,0.08298909506289266,0.9942711648631445,0.15319169802993707
12738,0.14499055250756937,0.01017040100926761,30002202.632053174,341.5007015281396,0.21622115395594735,0.0834480086574303,0.9939528962444303,0.15396940825558036
13178,0.14999886174789992,0.010352967794574093,31134260.627933253,354.3863754403129,0.22113111890108134,0.08387426252200675,0.9931572246976448,0.1546850408337774
13617,0.15499578846722972,0.010520399411953074,32387617.26173204,368.65273364595856,0.22610959498498465,0.08435738329886036,0.9929980903882877,0.15550432994828983
14056,0.15999271518655953,0.010710213508236829,33406952.98038832,380.2553438703795,0.23107665254575974,0.08483381384975248,0.9926798217695735,0.1563095118773178
14495,0.16498964190588933,0.010888384309067868,34855591.921344884,396.7445070383236,0.23602087306027839,0.08530228612863065,0.9922024188415022,0.1570984038197463
14935,0.16999795114621988,0.011051137493466747,36123085.9072276,411.17178395095954,0.24098793062105348,0.08579018360998707,0.9918841502227881,0.15792140667359195
15374,0.17499487786554965,0.011229628709986556,37291249.19023971,424.4684270521514,0.24588647704305924,0.08624247040088624,0.9910884786760026,0.15867718060102678
15813,0.17999180458487946,0.011407382671143912,38338429.25642316,436.3879761470526,0.2508078605113215,0.0867142220240749,0.9904519414385742,0.15946707660773765
16252,0.18498873130420926,0.01158602406063449,39643048.96954032,451.23783742960273,0.25575208102584013,0.08720579783282167,0.9899745385105029,0.16029167364501873
16692,0.1899970405445398,0.011748199215380617,41012109.10363523,466.82119315722935,0.2606963015403588,0.08770346131061525,0.9894971355824316,0.16112565105853696
17131,0.1949939672638696,0.011933501633017724,41810848.140315466,475.912857016362,0.2655720109161081,0.0881647482933337,0.988542329726289,0.16189098680009903
17570,0.19999089398319939,0.012103003564683636,43104011.55011973,490.63231668586207,0.2705390684768832,0.08868894601542417,0.9882240611075748,0.1627699727406165
18010,0.20499920322352994,0.01226791456732629,44276344.62900901,503.9764225761947,0.2754033593295043,0.08916098991118393,0.9872692552514322,0.16355152505733792
18449,0.20999612994285974,0.012453608907088673,45389303.637076244,516.6447018584953,0.28031332427463834,0.08966793937290293,0.9866327180140039,0.16439518481200618
18888,0.21499305666218954,0.012633969033255612,46325497.713650316,527.3009505958786,0.2851433595578748,0.09012444509133251,0.9853596435391471,0.1651442211524357
19327,0.21998998338151934,0.012819618059970039,47293825.34872433,538.3229602377163,0.2899848133642395,0.09060014355398656,0.9842457033736474,0.16592668106396966
19767,0.2249982926218499,0.01299963780855739,48686729.67481138,554.1777229814394,0.2949404524018863,0.09114364486119098,0.9837683004455761,0.16683083482883784
20206,0.2299952193411797,0.013175056738839579,49774633.82546568,566.5608148230665,0.2997476506388664,0.09161596676064698,0.9824952259707193,0.16760322501832398
20645,0.23499214606050947,0.013351266754586057,51155001.965603895,582.2728841669576,0.30469187115338503,0.09217188690236143,0.982017823042648,0.168525978015976
21084,0.23998907277983927,0.013540676210423128,52553174.531602696,598.1876127621132,0.30961325462164724,0.0927201106567236,0.9813812858052197,0.16943238639485686
21524,0.24499738202016982,0.013716348473195477,53854417.22389669,612.9990350342237,0.31453463808990945,0.09327561939067396,0.9807447485677913,0.1703497933855743
21963,0.24999430873949963,0.013896969962409043,55127772.88229018,627.493032557313,0.31945602155817165,0.09385093546224633,0.98026734563972,0.17130144605116798
22402,0.2549912354588294,0.014074253692256195,56342773.995228074,641.3228082412647,0.324331730933921,0.09439084620457996,0.9793125397835774,0.1721856157580336
22842,0.25999954469916,0.014258068109992417,57681114.792696215,656.556500474608,0.32920744030967036,0.09493807714876927,0.9783577339274347,0.17308071281776977
23281,0.26499647141848975,0.014457900958487271,58438841.57575767,665.1813414956367,0.33406031263916325,0.09547723067833766,0.977243793761935,0.17395861365664347
23720,0.2699933981378196,0.01464901063932633,59269527.811129145,674.6366450147875,0.33898169610742546,0.09607075767063243,0.9766072565245066,0.17493301408129525
24159,0.27499032485714936,0.014855770111211372,60569369.00167662,689.4321146638357,0.34390307957568766,0.09667249885720591,0.9759707192870783,0.17591968447472214
24599,0.27999863409747994,0.015065380740724272,61429396.36526086,699.2213941910541,0.34877878895143705,0.0972508809244151,0.9750159134309357,0.17686112634587076
25038,0.2849955608168097,0.015248311054305899,62658211.952505834,713.2084134189204,0.35374584651221214,0.0979013154740022,0.9746976448122215,0.17793077403517943
25477,0.2899924875361395,0.015464014599495757,63062119.71608685,717.8059020202478,0.3585758817954486,0.09846436159938188,0.9734245703373647,0.17883873231201028
25916,0.2949894142554693,0.015659072705527608,63989453.740063414,728.3613010228722,0.36339449855555683,0.09903381642512077,0.9721514958625079,0.179755774606444
26356,0.29999772349579984,0.01587286134656483,65145350.01185247,741.5183146112013,0.3682131153156651,0.09959834111615452,0.9707192870782941,0.18066044720864802
26795,0.30499465021512967,0.016071106010997968,65933985.46955527,750.4949742704405,0.37303173207577334,0.10018418629127747,0.9694462126034373,0.1816013831753413
27234,0.30999157693445945,0.01628016929174669,67070132.98212346,763.4271971921991,0.3778617673590098,0.10078020175918104,0.9681731381285805,0.18255742427197577
27674,0.31499988617478997,0.016499379225801192,67887308.4731607,772.7287143802297,0.3826575470728616,0.10135326803384004,0.9665817950350095,0.18346850316403124
28113,0.3199968128941198,0.016712067388780213,69054266.21850124,786.0116354235578,0.38759034906425205,0.10204904943604914,0.9661043921069382,0.18459901178259217
28552,0.3249937396134496,0.016930194659832185,70091514.632295,797.8181372765611,0.3923632917318474,0.10263661456657579,0.9645130490133673,0.18553040390590325
28991,0.3299906663327794,0.01716872335406736,71347774.17126387,812.1175378612684,0.3971704899688274,0.10326532004913334,0.9632399745385105,0.1865331278890601
29431,0.3349989755731099,0.01736686107557924,72601432.98545067,826.3873356415265,0.40196626968267923,0.10388806765443982,0.9618077657542966,0.1875213303962024
29870,0.33999590229243976,0.017573648440550822,72866473.89236504,829.4041693305375,0.4065793530264796,0.10438171111880845,0.959102482495226,0.18827314756966138
30309,0.34499282901176953,0.017797253474511596,73865896.52181233,840.7801183988473,0.41144364387910065,0.10507486649680639,0.9581476766390834,0.1893813103513352
30748,0.3499897557310993,0.018015675200717462,75269707.69333333,856.7590285397742,0.41623942359295246,0.10572594259988745,0.9567154678548695,0.1904098308735035
31188,0.3549980649714299,0.01825195037921528,76310129.25442794,868.601648808568,0.4210352033068043,0.10637317453565859,0.9551241247612985,0.19142693117305606
31627,0.35999499169075966,0.018474526217285174,76922452.38658106,875.5714297195468,0.4258652385900408,0.10707842892099952,0.9540101845957989,0.1925454866631337
32066,0.3649919184100895,0.018717938888505276,77706653.92166564,884.4976201614684,0.4304098107950718,0.10756269239770293,0.9508274984086569,0.1932624973719535
32505,0.36998884512941926,0.018944975545986942,78445919.09611791,892.9123215347954,0.43506856823138496,0.10814537932536154,0.9484404837683005,0.1941526182913918
32945,0.3749971543697498,0.01917703240995781,79795154.56164719,908.2700225561408,0.43991002203774965,0.10888372688529988,0.9473265436028008,0.19531801105697458
33384,0.3799940810890796,0.019396420245403546,80564346.7234461,917.0253684914301,0.4446144535665757,0.1095233705171937,0.9452577975811585,0.1963019878054826
33823,0.3849910078084094,0.019626464564700116,81538891.02133271,928.1181394282868,0.44926179247976067,0.11011971150271396,0.942711648631445,0.19720372836218375
34263,0.38999931704873997,0.019851953802994097,82340748.17518745,937.245295321641,0.4540804092398689,0.11085913486768123,0.9412794398472311,0.19835680751173707
