population,horizon_months,loans,excluded_censored,observed_rate,predicted_rate,ratio,gap
test (out-of-time),12,129338,73,0.00889916343224729,0.00322719326434358,0.3626400716104865,-0.00567197016790371
test (out-of-time),24,129231,180,0.03442672423799243,0.00998834329679991,0.2901334215753538,-0.024438380941192522
test (out-of-time),36,129073,338,0.06387858033825819,0.015607909818364341,0.24433714299402556,-0.04827067051989385
test (out-of-time),60,128846,565,0.10334818310230819,0.026348094512659175,0.25494492231736887,-0.07700008858964902
