bin,rows,events,mean_predicted,observed_rate,min_predicted,max_predicted,bin_low,bin_high,standard_error,residual,z,population,variant
7,121354,15,0.0001804555560175462,0.00012360531997297164,0.00016320413851644844,0.0001986910792766139,0.00016320413851644844,0.00019869142852257943,3.85583900365296e-05,-5.6850236044574565e-05,-1.4743934067453428,holdout (in-time),raw
8,121353,19,0.00021906553178779843,0.0001565680288085173,0.00019869166135322303,0.00024049034982454032,0.00019869142852257943,0.00024049041967373342,4.2482903581783436e-05,-6.249750297928112e-05,-1.47112126785232,holdout (in-time),raw
9,121350,23,0.00026470489437395623,0.0001895344046147507,0.00024049058265518397,0.00029068085132166743,0.00024049041967373342,0.00029068251024000347,4.669857279637551e-05,-7.517048975920552e-05,-1.6096956557318995,holdout (in-time),raw
10,121355,27,0.0003205063603326202,0.00022248774257344157,0.00029068251024000347,0.00035232523805461824,0.00029068251024000347,0.00035232533991802484,5.1383050126155796e-05,-9.801861775917865e-05,-1.9076060591678206,holdout (in-time),raw
11,121353,36,0.0003885703757097956,0.00029665521247929593,0.0003523253835737705,0.00042768585262820125,0.00035232533991802484,0.00042768601560965185,5.6575081948069424e-05,-9.191516323049968e-05,-1.624658066158333,holdout (in-time),raw
12,121353,54,0.0004728646347822814,0.0004449828187189439,0.00042768626008182764,0.0005220083403401077,0.00042768601560965185,0.0005220083869062365,6.240802706430928e-05,-2.788181606333751e-05,-0.4467665038442295,holdout (in-time),raw
13,121352,80,0.0005805164304244815,0.0006592392379194409,0.000522008806001395,0.0006442266167141497,0.0005220083869062365,0.0006442271289415658,6.914450864077192e-05,7.872280749495939e-05,1.1385258069292217,holdout (in-time),raw
14,121352,82,0.0007207374807376251,0.000675720218867427,0.0006442272569984198,0.0008055353537201881,0.0006442271289415658,0.0008055361686274409,7.70386248472302e-05,-4.501726187019811e-05,-0.584346643770818,holdout (in-time),raw
15,121353,127,0.0009131540032453998,0.0010465336662464051,0.0008055361686274409,0.0010347279021516442,0.0008055361686274409,0.0010347353527322412,8.670584512541471e-05,0.00013337966300100532,1.5383007086555673,holdout (in-time),raw
16,121352,163,0.0011917269545047963,0.001343199947260861,0.0010347353527322412,0.0013730648206546903,0.0010347353527322412,0.0013730655191466212,9.90389386221144e-05,0.00015147299275606457,1.529428675866708,holdout (in-time),raw
17,121354,234,0.0016224521593349698,0.0019282429915783576,0.0013730655191466212,0.001926790690049529,0.0013730655191466212,0.001926791248843074,0.00011553306762038541,0.0003057908322433877,2.646781900123562,holdout (in-time),raw
18,121353,323,0.002411544182085928,0.0026616564897447943,0.0019267916213721037,0.0030619027093052864,0.001926791248843074,0.0030619031982496384,0.00014079851047791187,0.0002501123076588661,1.7763846137996118,holdout (in-time),raw
19,121353,605,0.005604499163155108,0.004985455654165946,0.003061904339119792,0.043626055121421814,0.0030619031982496384,0.043626055121421814,0.00021430027142456826,-0.0006190435089891621,-2.8886734714522273,holdout (in-time),raw
0,484583,12,1.636134235076816e-05,2.4763559596601614e-05,5.147180569188566e-07,2.7573573684549503e-05,5.147180569188566e-07,2.7573641199915688e-05,5.810611322823715e-06,8.402217245833453e-06,1.4460126102102326,train (in-sample),platt
1,484582,17,3.704294506268641e-05,3.50817818243352e-05,2.7573653114392072e-05,4.627874127578759e-05,2.7573641199915688e-05,4.627882941716261e-05,8.743011926536032e-06,-1.961163238351205e-06,-0.22431208544950654,train (in-sample),platt
2,484583,13,5.5427196361426085e-05,2.6827189562985083e-05,4.627882941716261e-05,6.473691011314155e-05,4.627882941716261e-05,6.473697596543358e-05,1.0694619373008659e-05,-2.8600006798441002e-05,-2.6742426075136807,train (in-sample),platt
3,484584,23,7.457027248830025e-05,4.746339127994321e-05,6.473697596543358e-05,8.472152360548626e-05,6.473697596543358e-05,8.472155570085182e-05,1.2404582060274835e-05,-2.7106881208357038e-05,-2.185231318285661,train (in-sample),platt
4,484583,26,9.575000416712095e-05,5.3654379125970166e-05,8.472160384390013e-05,0.0001072213736641961,8.472155570085182e-05,0.00010722139912579832,1.405608972618122e-05,-4.2095625041150784e-05,-2.9948318388109345,train (in-sample),platt
5,484583,24,0.0001196940736153589,4.952711919320323e-05,0.000107221475510605,0.0001328457545062437,0.00010722139912579832,0.00013284576611729076,1.5715429111641705e-05,-7.016695442215567e-05,-4.464844957378686,train (in-sample),platt
6,484582,53,0.00014744776178349806,0.00010937261392292738,0.00013284587061671368,0.00016280087052701785,0.00013284576611729076,0.00016280115940374461,1.7442287191298568e-05,-3.8075147860570674e-05,-2.1829217374407883,train (in-sample),platt
7,484581,60,0.00017987464413648106,0.00012381830901335382,0.0001628011746077828,0.00019790388707846549,0.00016280115940374461,0.00019790406045066294,1.9264720840561775e-05,-5.605633512312724e-05,-2.9097922356134487,train (in-sample),platt
8,484582,74,0.00021787652291819785,0.00015270893264710615,0.00019790406045066294,0.00023902350334708487,0.00019790406045066294,0.00023902371959419168,2.1201874644071625e-05,-6.51675902710917e-05,-3.073671143004969,train (in-sample),platt
9,484585,106,0.00026323062763545396,0.00021874387362382246,0.00023902371959419168,0.00028886422268779264,0.00023902371959419168,0.00028886451039247986,2.330376322005368e-05,-4.44867540116315e-05,-1.9089944225552866,train (in-sample),platt
10,484582,125,0.0003179890709074328,0.00025795427812011176,0.00028886451039247986,0.00034913367881574407,0.00028886451039247986,0.0003491338510643559,2.5612584041533267e-05,-6.003479278732102e-05,-2.343956888144079,train (in-sample),platt
11,484585,158,0.0003848902183562598,0.0003260521889864523,0.0003491338510643559,0.0004231364782243092,0.0003491338510643559,0.00042313655843026867,2.8177331391495156e-05,-5.88380293698075e-05,-2.088133491149795,train (in-sample),platt
12,484582,217,0.0004681777708836277,0.000447808626816514,0.0004231368792541043,0.0005169766284182529,0.00042313655843026867,0.0005169768570533758,3.1075639052129434e-05,-2.0369144067113715e-05,-0.6554698370947237,train (in-sample),platt
13,484583,268,0.0005754479198521138,0.0005530528309907694,0.0005169768570533758,0.0006389997413298188,0.0005169768570533758,0.0006390002545132479,3.445037329893878e-05,-2.239508886134442e-05,-0.650068104255761,train (in-sample),platt
14,484579,384,0.0007149420633776736,0.0007924404483066745,0.0006390003115336286,0.0007986137561836289,0.0006390002545132479,0.0007986144955613708,3.8397047124239446e-05,7.749838492900085e-05,2.018342313622272,train (in-sample),platt
