vintage,loan_age,at_risk,cohort_size,defaults,prepayments,censored,hazard_default,hazard_prepay,survival,survival_entering,cif_default,cif_prepay,naive_default,naive_prepay,naive_censored,not_yet_exited_share,km_default,split
2000,0,39023,49995,0,63,27,0.0,0.001614432514158317,0.9983855674858417,1.0,0.0,0.001614432514158317,0.0,0.0012601260126012602,0.00054005400540054,0.9981998199819982,0.0,train
2000,1,45898,49995,0,184,5,0.0,0.004008889276221186,0.9943831502908137,0.9983855674858417,0.0,0.005616849709186312,0.0,0.00494049404940494,0.0006400640064006401,0.9944194419441944,0.0,train
2000,2,46868,49995,0,309,4,0.0,0.006592984552359819,0.9878271975418195,0.9943831502908137,0.0,0.012172802458180539,0.0,0.011121112111211121,0.00072007200720072,0.9881588158815882,0.0,train
2000,3,47057,49995,22,451,7,0.0004675181163270077,0.009584121384703657,0.9778979146628156,0.9878271975418195,0.00046182711065133835,0.021640258226532975,0.00044004400440044003,0.02014201420142014,0.0008600860086008601,0.9785578557855785,0.0004675181163270592,train
2000,4,46873,49995,24,545,2,0.0005120218462654406,0.011627162758944381,0.966027031351674,0.9778979146628156,0.0009625322063761175,0.033010436441949835,0.00092009200920092,0.031043104310431044,0.0009000900090009,0.9671367136713671,0.0009793005831033597,train
2000,5,46581,49995,25,695,5,0.0005366995126768425,0.01492024645241622,0.9510952037272519,0.966027031351674,0.0014809984433352178,0.04742379782941282,0.00142014201420142,0.04494449444944494,0.001000100010001,0.9526352635263526,0.0015154745056344954,train
2000,6,46123,49995,26,884,3,0.0005637100795698459,0.01916614270537476,0.9323302353732462,0.9510952037272519,0.0020171403963068057,0.06565262423044681,0.0019401940194019402,0.06262626262626263,0.00106010601060106,0.9343734373437343,0.0020783302969502593,train
2000,7,45448,49995,29,1071,5,0.0006380918852314733,0.023565393416651998,0.9097645942248883,0.9323302353732462,0.0026120527538544235,0.08762335302125711,0.0025202520252025204,0.08404840484048405,0.00116011601160116,0.9122712271227122,0.002715096016484342,train
2000,8,44538,49995,39,1196,1,0.0008756567425569177,0.026853473438412143,0.8845376133575898,0.9097645942248883,0.003408694254927005,0.11205369238748294,0.0033003300330033004,0.10797079707970797,0.0011801180118011802,0.8875487548754876,0.003588375266907806,train
2000,9,43447,49995,32,1404,5,0.0007365295647570603,0.032315234653716024,0.8553020847185239,0.8845376133575898,0.00406018235830452,0.1406377329231714,0.00394039403940394,0.13605360536053607,0.0012801280128012802,0.8587258725872587,0.004322261887191425,train
2000,10,42111,49995,34,1682,1,0.0008073899931134383,0.03994205789461186,0.8204489969890236,0.8553020847185239,0.004750744702595318,0.1748002583083809,0.0046204620462046205,0.1696969696969697,0.0013001300130013002,0.8243824382438244,0.005126162129309608,train
