knots,parameters,log_likelihood,bic_by_rows,bic_by_events,marginal_gap
6,93,-67604.4445476355,136725.7434003419,136058.20032650811,-0.0001953125
9,105,-67581.6906453823,136875.9587319737,136122.2810679678,-0.00040656672
12,117,-67553.81994039545,137015.94045813815,136176.12820396016,-8.889358e-05
16,131,-67521.01154733969,137178.66733085449,136238.36472147572,0.00034353885
