rule,approval_rate,threshold,npv_per_applicant,accuracy,f1
approve all,1.0,0.306424596258841,-1033.7160161717343,0.936057513339124,0.0
accuracy-max,1.0,0.306424596258841,-1033.7160161717343,0.936057513339124,0.0
F1-max,0.9799961322761555,0.07936949675783028,-824.4335889684462,0.928317719320015,0.1450374618444177
expected NPV > 0,0.7749990330690388,0.021783390465956648,392.871439212736,0.7897847127435166,0.2707952222102658
oracle (hindsight),0.5149951653451944,0.008330174210624704,783.7034436715347,0.5641518798858419,0.20495699411498416
