rule,approval_rate,threshold,npv_per_applicant,accuracy,f1
approve all,1.0,0.40221136351082065,-78.81824685443773,0.9282460006622744,0.0
accuracy-max,1.0,0.40221136351082065,-78.81824685443773,0.9282460006622744,0.0
F1-max,0.8699888451294193,0.07851149079128385,800.5217982576919,0.8604656473731688,0.30662732637312756
expected NPV > 0,0.7149930566621896,0.04664390272703261,1196.2192272727673,0.7453897712869817,0.284449008407676
oracle (hindsight),0.6199945363899196,0.03558586046164704,1251.737272679016,0.6649120202792971,0.2565739474084207
