rule,approval_rate,threshold,npv_per_applicant,accuracy,f1
approve all,1.0,0.306424596258841,-78.81824685444153,0.9282460006622744,0.0
accuracy-max,1.0,0.306424596258841,-78.81824685444153,0.9282460006622744,0.0
F1-max,0.9799895280806793,0.07731011873821815,158.35076927933258,0.9226965984219601,0.1562811565304088
expected NPV > 0,0.8499897557310994,0.028578764361512767,919.4085160719143,0.8483277572878724,0.3141426137243765
oracle (hindsight),0.6349966990689098,0.011650488910171222,1278.7377619896856,0.6784543887093644,0.26209318169907236
