arm,label,approval_rate,threshold,realised,expected,oracle_rank,oracle_cut,capture_rank,capture_cut,auc,gini,brier,ece
B0,approve all,1.0,1.0,-78.81824685446456,0.0,0.4215018186525199,0.4215018186525199,0.0,0.0,0.5,0.0,0.06660536291676732,0.0
B1,"binary 36m, accuracy-max",1.0,0.5171458125114441,-78.81824685446456,4404.5352437783895,1133.5860579163232,1133.5860579163232,0.0,0.0,0.7411344348667399,0.4822688697334798,0.06811938047686474,0.060419419095160305
B2,"binary 36m, profit-max",0.8920823183918775,,459.63633341497933,4540.888192665558,1133.5860579163232,853.2994071547602,0.44412130355413243,0.5776680421762671,0.7411344348667399,0.4822688697334798,0.06811938047686474,0.060419419095160305
B3,"hazard, profit-max",0.8451863318687823,,914.5108780629035,3639.7978559039384,1279.1943769205664,1385.753286860347,0.7314579463599474,0.6782387217357959,0.8064990007188322,0.6129980014376644,0.06711691812708391,0.05700537020220088
B4a,hazard + in-time recalibration,0.847166890522913,,896.1905367463911,3651.792990507494,1278.5781999204912,1381.4643498142996,0.7182933076901618,0.6676849986605824,0.8063876264734374,0.6127752529468748,0.06720393160838473,0.05722815518214024
B4b,hazard + sequential recalibration,0.7128076126300453,,1459.6635127498903,2659.91290359609,1256.1178976601982,1576.6999718045108,1.152475918736693,0.9293052424699838,0.8031014784180848,0.6062029568361695,0.06310953184030917,0.03445324130078946
