approved,approval_rate,threshold,npv_total,npv_per_applicant,accuracy,precision,recall,f1
0,0.0,0.0,0.0,0.0,0.07175399933772565,0.07175399933772565,1.0,0.13390012891403244
439,0.004996926719329797,0.0005567821735804164,607276.2927146158,6.912335155082475,0.07676673099101362,0.07211549496201428,1.0,0.13452933998415792
878,0.009993853438659593,0.0006775604665710076,1360440.2707433193,15.485239952003543,0.08177946264430158,0.072480651449267,1.0,0.13516449243410086
1317,0.014990780157989391,0.0007669607428052805,2176189.537093643,24.770523107583525,0.08679219429758955,0.07284952469278924,1.0,0.13580567081604428
1757,0.01999908939831994,0.0008442363709943033,2924518.1657779426,33.28838943904595,0.09181634447400573,0.07322302493591237,1.0,0.13645444280378702
2196,0.024996016117649737,0.000913918196272219,3715132.080578892,42.28756892775391,0.09681765760416548,0.07359865076948303,1.0,0.13710645168328497
2635,0.029992942836979536,0.0009762912159728647,4691949.000408205,53.406208031600215,0.10179613368806878,0.07396637784893577,0.9998408656906429,0.13774279826369096
3074,0.03498986955630933,0.0010335753583317112,5632428.094085095,64.11123106614491,0.10680886534135675,0.07435063014022839,0.9998408656906429,0.13840883807509718
3514,0.03999817879663988,0.001092868920067374,6623150.573394679,75.3881504928026,0.11183301551777293,0.07473978469041813,0.9998408656906429,0.13908288968333904
3953,0.04499510551596968,0.0011483829153229566,7649645.793252251,87.07225389000217,0.11682291012480446,0.07513033912086861,0.9998408656906429,0.1397588753447816
4392,0.04999203223529947,0.0012048879077331829,8542267.483460106,97.23253902451916,0.12181280473183598,0.07551479161908425,0.9996817313812858,0.14042225028779629
4831,0.05498895895462927,0.0012518793666817492,9561854.54489311,108.83801016337458,0.12682553638512395,0.07591540785498489,0.9996817313812858,0.1411146303659276
5271,0.05999726819495982,0.001302859372351583,10591573.551562227,120.55880838165852,0.13184968656154014,0.07632122463856153,0.9996817313812858,0.14181547283111723
5710,0.06499419491428962,0.0013553861352690686,11721903.178565737,133.42480909879728,0.13686241821482809,0.0767304662212505,0.9996817313812858,0.14252169474221543
6149,0.06999112163361941,0.0014063386777834177,12942704.276631802,147.32060323527446,0.14187514986811606,0.07714412024756852,0.9996817313812858,0.1432349856354599
6589,0.07499943087394996,0.0014563240317812555,13941868.296770215,158.69360867769498,0.14683078890576293,0.0775261754247333,0.9992043284532145,0.143888354186718
7028,0.07999635759327976,0.001507868494289272,15107137.32365528,171.9573078477392,0.1518435205590509,0.07794867975121969,0.9992043284532145,0.1446157743818879
7467,0.08499328431260955,0.0015528733852684027,16227661.451057563,184.71169725974414,0.15683341516608243,0.07836333225154156,0.9990451941438574,0.145327438135142
7906,0.08999021103193935,0.001599059741728818,17366820.25566136,197.67819627633756,0.16184614681937037,0.07879510511452777,0.9990451941438574,0.1460696378506032
8346,0.0949985202722699,0.0016452230730323576,18463664.770251274,210.16305199821608,0.1667561117645044,0.07916955890704866,0.9982495225970719,0.14670424116278258
8785,0.09999544699159969,0.0016886692415644068,19597650.538640734,223.07066882146214,0.17176884341779233,0.07961064013401696,0.9982495225970719,0.14746121297602258
9224,0.1049923737109295,0.0017351157154274592,20833773.803803153,237.14086784669058,0.1767244824554392,0.08003011817555324,0.9979312539783577,0.1481770279530257
9663,0.1099893004302593,0.0017823673501703066,22018315.134002313,250.62393441394033,0.18166870296995788,0.08045327960370119,0.9976129853596435,0.14889852146547117
10103,0.11499760967058985,0.0018289804144838385,23270608.247369424,264.8781870759376,0.18664717905386116,0.0808843458396252,0.9972947167409294,0.14963290156986808
10542,0.11999453638991964,0.0018736077724569292,24334153.64754585,276.98401492869823,0.19152288842961052,0.081267360660419,0.9963399108847868,0.1502772243957468
10981,0.12499146310924944,0.0019197782456576895,25412862.422496274,289.262440213266,0.19645569042100094,0.08169286199154091,0.9958625079567155,0.1509989383264164
11421,0.12999977234958,0.001964152716858742,26509964.251422107,301.75022482097694,0.20143416650490426,0.08213854314374246,0.9955442393380013,0.15175625849019989
11860,0.1349966990689098,0.0020134769163407977,27503215.123855654,313.05592373546625,0.20636696849629468,0.08257401685022317,0.99506683640993,0.15249359834166565
12299,0.13999362578823957,0.00206331822848718,28513796.917112567,324.55889222018993,0.21131118901081333,0.08301566007411638,0.9945894334818587,0.15324073506515795
12738,0.14499055250756937,0.0021108266885749073,29881237.610059254,340.12381462493744,0.21620973543281913,0.08343576314664386,0.9937937619350732,0.1539466548340975
13178,0.14999886174789992,0.0021567231791782353,31016539.41985194,353.0464113170936,0.2211082818548249,0.08386082328750555,0.9929980903882877,0.1546602555364158
13617,0.15499578846722972,0.0022057751686529775,32199792.103008296,366.5148098323161,0.2260867579387282,0.08434386448743426,0.9928389560789306,0.15547940938259297
14056,0.15999271518655953,0.00225507358929517,33230252.82765271,378.2440506710305,0.2310538154995033,0.08482021432845564,0.9925206874602164,0.15628445424476298
14495,0.16498964190588933,0.0023074226276306735,34442270.1506782,392.03986330364245,0.23604371010653483,0.08531596732929282,0.9923615531508593,0.1571236000352747
14935,0.16999795114621988,0.002353927362539252,35606329.258620754,405.2897905459143,0.24102218619043814,0.08580512848746782,0.9920432845321451,0.1579487439350368
15374,0.17499487786554965,0.002405111679208989,36893060.317192614,419.9360338424274,0.24594356965870035,0.08627136012407566,0.9914067472947168,0.15873015873015872
15813,0.17999180458487946,0.0024513811781151336,37907045.48231748,431.47774127891137,0.2508763716500908,0.08675601872492197,0.9909293443666455,0.1595439405585447
16252,0.18498873130420926,0.0025024115870864996,38963940.03611093,443.5078657330449,0.25582059216460945,0.0872478517459383,0.9904519414385742,0.16036897231419334
16692,0.1899970405445398,0.0025550503288714888,40106972.21079551,456.5184534659265,0.26074197563287166,0.08773167085108184,0.9898154042011458,0.16117747661371823
17131,0.1949939672638696,0.0026044879441045796,41416800.1708277,471.4275977283641,0.26570903319364675,0.08824990419960545,0.9894971355824316,0.16204735285302896
17570,0.19999089398319939,0.002650222933581848,42753376.88870256,486.6412102886898,0.2706189981387807,0.08874480512988961,0.9888605983450032,0.16287268199986896
18010,0.20499920322352994,0.0026996201920437227,43916128.70142417,499.87625721565513,0.2755289630839147,0.08923413000675472,0.9880649267982177,0.16368549396955118
18449,0.20999612994285974,0.0027523096869678226,44887310.2060764,510.9307510879004,0.2803818354134076,0.08971132708550272,0.9871101209420751,0.16447473086917325
18888,0.21499305666218954,0.0028046481537405722,45792043.74891972,521.2288996393985,0.2851776151272594,0.09015224288999506,0.9856779121578613,0.16519535938125085
19327,0.21998998338151934,0.002861713527131642,47094339.92363696,536.0523131973155,0.29012183564177807,0.09068803374983521,0.98520050922979,0.1660876446996016
19767,0.2249982926218499,0.002914288487444919,48455953.74520084,551.5509111161796,0.29507747467942497,0.09123210520884013,0.9847231063017187,0.16699275411207512
20206,0.2299952193411797,0.002966041929832006,49646727.568069465,565.1049191621265,0.29993034700891785,0.09173467873571746,0.9837683004455761,0.16782039796943288
20645,0.23499214606050947,0.0030204456936757753,51176243.3445405,582.5146646087884,0.3048288934309236,0.09226150468252901,0.9829726288987906,0.16868983409571928
