variant,loans,lgd,discount_spread_bps,npv_total,npv_per_loan,npv_per_dollar,default_leg,delta_vs_raw,delta_pct,scope
platt,8803,0.18,150.0,2305395.877277565,261.88752439822395,0.001341121483739769,37045514.90886551,19.276240522878993,0.07945319036678951,sensitivity
platt,8803,0.2407,50.0,53108436.83200128,6032.992937862237,0.03089485250895068,36015834.24394914,27.116120082526322,0.004514931109184949,sensitivity
platt,8803,0.2407,100.0,26049787.409789063,2959.1942985106284,0.015153982830652751,35273715.27762177,25.52509841163237,0.008700741859638105,sensitivity
platt,8803,0.2407,150.0,-184553.19788677618,-20.964807211947765,-0.00010736041519737347,34555565.83370116,24.01393725260361,0.5338952329256202,sensitivity
isotonic,8803,0.1,50.0,59055489.655949846,6708.564086782897,0.03435444068022441,43041036.464904904,-4.835516143458335,-0.0007202783134420518,sensitivity
isotonic,8803,0.1,100.0,31831253.715282444,3615.955210187714,0.018517244102279132,42094474.869002104,-4.38575567188127,-0.001211420612931119,sensitivity
isotonic,8803,0.1,150.0,5437408.610958416,617.676770528049,0.003163112060666697,41179600.4023284,-3.9658521807675697,-0.006379633628540965,sensitivity
isotonic,8803,0.133,50.0,57588234.25835014,6541.887340491894,0.03350089194473442,41573781.06730519,-5.568752058915379,-0.0008505214819616852,sensitivity
isotonic,8803,0.133,100.0,30407353.078869686,3454.20346232758,0.01768891619858784,40670574.23258934,-5.084424142535227,-0.0014697892483656262,sensitivity
isotonic,8803,0.133,150.0,4055197.426298002,460.6608458818587,0.002359036225759539,39797389.21766798,-4.6313495581507595,-0.009953636883530929,sensitivity
isotonic,8803,0.18,50.0,55498506.87388995,6304.499247289555,0.0322852316244911,39484053.682845,-6.613057756690068,-0.0010478434603995866,sensitivity
isotonic,8803,0.18,100.0,28379373.384584844,3223.829760829813,0.016509176456966902,38642594.5383045,-6.079497418922529,-0.001882250222168423,sensitivity
isotonic,8803,0.18,150.0,2086593.617842258,237.03210471910234,0.0012138373093766152,37828785.40921224,-5.579179156242617,-0.022996371261566013,sensitivity
isotonic,8803,0.2407,50.0,52799646.18800199,5997.91505032398,0.030715219253453444,36785192.996957034,-7.961767455731206,-0.0013256627961734588,sensitivity
isotonic,8803,0.2407,100.0,25760259.183668032,2926.3045761295048,0.01498555513108624,36023480.337387696,-7.3646239694912765,-0.00251037982375203,sensitivity
isotonic,8803,0.2407,150.0,-455837.258184623,-51.78203546343553,-0.0002651749081647318,35286354.533185355,-6.803290998884151,-0.15125568932334155,sensitivity
sequential,8803,0.1,50.0,48228915.142819434,5478.690803455576,0.028056280863952444,100103720.33434182,-1234.708799470779,-0.1839170721987966,sensitivity
sequential,8803,0.1,100.0,21882211.285031803,2485.767498015654,0.012729572372075375,98096809.02886656,-1134.5734678439412,-0.3133885671386076,sensitivity
sequential,8803,0.1,150.0,-3678141.6733848937,-417.82820326989594,-0.002139691003629361,96154256.31389637,-1039.4708259787126,-1.6721357062828215,sensitivity
sequential,8803,0.133,50.0,44814614.450724885,5090.834312248652,0.026070074479510184,96689419.64224727,-1456.6217803021573,-0.22247140869862253,sensitivity
sequential,8803,0.133,100.0,18562212.409129325,2108.623470308909,0.010798224327971702,94776810.15296409,-1350.6644161612062,-0.39044579707976684,sensitivity
sequential,8803,0.133,150.0,-6907298.76024506,-784.6528183852164,-0.004018193514301323,92925099.2270362,-1249.945013825226,-2.6863657419467346,sensitivity
sequential,8803,0.18,50.0,39951822.55592359,4538.432642953946,0.02324123508348638,91826627.74744597,-1772.6796620922987,-0.28088228768721135,sensitivity
sequential,8803,0.18,100.0,13833729.161631865,1571.478945999303,0.008047516507581629,90048326.90546662,-1658.4303122494325,-0.513460341962869,sensitivity
sequential,8803,0.18,150.0,-11506401.27789438,-1307.0999974888537,-0.006693636484046234,88325996.70938689,-1549.7112813641986,-6.387630684813692,sensitivity
sequential,8803,0.2407,50.0,33671578.55561636,3825.0117636733335,0.01958781909755775,85546383.74713874,-2180.8650541063776,-0.3631218422013212,sensitivity
sequential,8803,0.2407,100.0,7726943.3505021585,877.7625071568964,0.004495006620396996,83941541.09433691,-2055.9066929420997,-0.70079704040003,sensitivity
sequential,8803,0.2407,150.0,-17446093.25281595,-1981.8349713524879,-0.010148942617312534,82386304.7344653,-1936.8562268879364,-43.06158942285307,sensitivity
