loan_age,at_risk,predicted_default,observed_default,predicted_prepayment,observed_prepayment
0,200764,7.348737329885225e-05,0.0,0.0029080560416791263,0.0009364228646570102
1,232988,9.674767392350603e-05,0.0,0.004009718964394183,0.002772674987553007
2,239188,0.0001254930389325567,0.0,0.005356038000636599,0.004799571884877168
3,240622,0.0001595974273206019,0.00030338040578168246,0.006976310671356897,0.008278544771467281
4,239851,0.00019841575793992937,0.000296017110622845,0.008855656676394597,0.010277213770215676
5,238222,0.00024196355943947176,0.00034001897389829657,0.010976041132344233,0.012337231657865353
6,235927,0.00028879520847900435,0.00037723533126772263,0.013286193853509086,0.01444090756886664
7,232973,0.0003382742075360185,0.0003863108600567448,0.01572582424700871,0.016486889038643964
8,229438,0.00038955991738059764,0.0004619984483825696,0.018214153521522135,0.018763238870631718
9,225308,0.0004412757593785746,0.000390576455341133,0.020679835239939597,0.02092690894242548
10,220767,0.0004919181614992766,0.0004529662494847509,0.023023744147183965,0.023205460961103788
11,215707,0.0005400177679627503,0.0005655820163462475,0.02515575291263408,0.025015414427904517
12,210333,0.0005827167898452055,0.0005942957120375785,0.026999904119289955,0.0272520241711952
13,204568,0.0006205418478545706,0.0005523835595009972,0.028528678638894005,0.027775605177740408
14,198859,0.0006541515155099884,0.0004978401782167265,0.029733551219574966,0.028039968017540065
15,193267,0.0006829742468340865,0.000636425256251714,0.03062192398375808,0.028608091396875826
16,187732,0.0007061472951547437,0.0006338823429143673,0.031173386068894485,0.02930773656062898
17,182215,0.0007260035711109114,0.000664050709326894,0.03142579066155052,0.03100183848750103
18,176511,0.0007391389012503499,0.0007421633779197896,0.031351164947658244,0.03075728991394304
19,170994,0.0007477335209722075,0.0007134753266196474,0.031011756111972915,0.031024480391124834
20,165629,0.0007522095141802007,0.0007546987544451756,0.030437441894721244,0.029886070676028956
21,160599,0.0007550773766566706,0.0007845627930435432,0.029669107397214893,0.029788479380319928
22,155758,0.0007544640633858098,0.0008603089407927683,0.028763418928013065,0.02887171124436626
23,151182,0.0007522570043334294,0.0006614544059477981,0.02775934451369498,0.027576034183963698
24,146943,0.0007507390983880524,0.0007077574297516724,0.026737389684596515,0.027942807755388144
25,142783,0.0007484397613624686,0.0007703998375156706,0.02569003715413094,0.025899441810299545
26,139013,0.0007458097040983105,0.000834454331609274,0.02465003059503558,0.024774661362606375
27,135485,0.0007448578562365474,0.0007159464147322582,0.023624310915311243,0.024497176809240875
28,132099,0.0007444344567630639,0.0007721481616060682,0.022603464843946378,0.023921452849756622
29,128873,0.0007441506005056111,0.0008535534984054068,0.02158814956978279,0.022906272066297827
30,125841,0.0007419177360607185,0.0008343862493146113,0.02059296778068881,0.020533848268847195
31,123187,0.0007410708385477519,0.0005844772581522401,0.01963320569036905,0.019620576846582836
32,120743,0.0007431290354604354,0.0009027438443636485,0.018738121345495715,0.019297184929975238
33,118336,0.0007429354460308088,0.0007858977825851811,0.017852147059756292,0.01771227690643591
34,116198,0.0007442713350554591,0.0007142980085715761,0.01703133330583072,0.01780581421366977
35,114090,0.0007458837509596805,0.000858970987816636,0.01625331430655136,0.01639933385923394
36,112158,0.0007472747578419239,0.0008737673638973591,0.015521191395227509,0.016209276199646926
37,110259,0.0007497706627366109,0.0006257992544826273,0.014833062382179511,0.01499197344434468
38,108542,0.0007535644325498826,0.0006909767647546572,0.014201557697442364,0.014399955777487056
39,106925,0.000756647571257719,0.0008136544306757073,0.013623634936077433,0.013111994388590134
40,105462,0.000760490371645294,0.0007206387134702547,0.013091817004432689,0.012962014754129449
41,104047,0.0007651112681110744,0.0007688832931271445,0.01259767499943191,0.01272501850125424
42,102681,0.0007712136640291597,0.0005843340053174395,0.012157085429651276,0.01200806380927338
43,101425,0.0007764995685588767,0.0008183386738969682,0.011754742481314553,0.011811683509982745
44,100182,0.0007832430032107949,0.0007785829789782596,0.01139563033249379,0.010680561378291509
45,99063,0.0007919802498961212,0.0008782290057841979,0.011097190620470154,0.010134964618475111
46,98005,0.0007996997971721815,0.0006326207846538441,0.010829673755317577,0.009785215040048978
47,97002,0.0008090787879723785,0.0008350343291890889,0.010603670716659215,0.010113193542401188
48,95968,0.0008183072244760955,0.0008023507835945316,0.010421998743142695,0.010190896965655219
49,94943,0.0008279264866860308,0.0007899476528022076,0.010278476504663136,0.010395711110877053
50,93906,0.000839448914693521,0.0008519157455327668,0.010173885217906709,0.01026558473366984
51,92885,0.0008506969014802631,0.0008828120794530872,0.010105494519079078,0.010862894977660548
52,91820,0.0008620430735324519,0.0008821607492920932,0.010063995594341773,0.009954258331518188
53,90849,0.0008745870826098972,0.0007925238582703166,0.010054216148254604,0.010148708296183778
54,89869,0.0008897931725572567,0.0010348395998620215,0.010075377055387313,0.01025937753841703
55,88871,0.0009043937682113927,0.0008101630453128693,0.010126072835267322,0.01084718299557786
56,87855,0.0009194339458199998,0.001069944795401514,0.010190944452574737,0.010266917079278357
