vintage,reached_default,reached_loss_disposition,probability_of_loss,lgd_at_default_balance,lgd_at_disposition,effective_lgd
2000,1618,529,0.326946847960445,0.25364696315475715,0.25303591792454355,0.08292907509818698
2001,1445,480,0.33217993079584773,0.31326699509287553,0.3151599619629589,0.10406100875057457
2002,1426,510,0.3576437587657784,0.3587931207094606,0.36153560538098134,0.12832012030983514
2003,1683,618,0.3672014260249554,0.34612652292259655,0.3480409372923707,0.12709815280223688
2004,3078,1283,0.41682910981156596,0.40790567734508365,0.4073874073647869,0.17002696037483506
2006,6802,3492,0.5133784181123199,0.5332672090826176,0.5265105626459149,0.273767876230006
2007,7792,3770,0.48382956878850103,0.50203996590036,0.4967073706916041,0.24290178021616496
2008,4384,1781,0.40625,0.4598566181234263,0.4552138651115167,0.18681675111264195
